news_title,news_category,created_at,scrapped_at,url,image
Uskup Agung Jakarta: Paus Fransiskus Tersentuh Sambutan Presiden Jokowi di GBK,NEWS,07-09-2024,2024-09-08 07:03:55,https://nasional.kompas.com/read/2024/09/07/20480371/uskup-agung-jakarta-paus-fransiskus-tersentuh-sambutan-presiden-jokowi-di,https://asset.kompas.com/crops/j8eeZ97xj_pdP56ZGl6-qDnZ_HQ=/0x0:0x0/230x152/data/photo/2024/09/06/66d9ec1c71cdb.jpg
"RGE Komitmen Dukung Transisi Energi Hijau, Targetkan 90 Persen Energi Bersih pada 2030",LESTARI,07-09-2024,2024-09-08 07:03:55,https://lestari.kompas.com/read/2024/09/07/204652586/rge-komitmen-dukung-transisi-energi-hijau-targetkan-90-persen-energi-bersih,https://asset.kompas.com/crops/ImWpgg27qoLv4Ca5oIo6HjdIQK4=/0x0:1599x1066/230x152/data/photo/2024/09/07/66dc53eaa06d4.jpeg
"Truk Garam Ditabrak KA Argo Semeru di Ngawi, Sempat Terseret 8 Meter, Sopir Meninggal",REGIONAL,07-09-2024,2024-09-08 07:03:56,https://surabaya.kompas.com/read/2024/09/07/204059778/truk-garam-ditabrak-ka-argo-semeru-di-ngawi-sempat-terseret-8-meter-sopir,https://asset.kompas.com/crops/ChQosraLuiwW6b3f0WFB1c-dG5Y=/0x0:0x0/230x152/data/photo/2024/09/07/66dc4bb28c7fc.jpg
"Dibekali Teknologi Terkini, Mobil Super™ All-in-One Protection Tawarkan Perlindungan Mesin hingga 20 Tahun",OTOMOTIF,07-09-2024,2024-09-08 07:03:56,https://otomotif.kompas.com/read/2024/09/07/204017415/dibekali-teknologi-terkini-mobil-super-all-in-one-protection-tawarkan,https://asset.kompas.com/crops/Fo1Eyqif__simz4T3_ePueeRGg0=/0x0:624x416/230x152/data/photo/2024/09/07/66dc4aca3a932.jpg
"Rano Karno Nostalgia di Taman Benyamin Sueb, Kenang Pendirian Museum ""Babe""",NEWS,07-09-2024,2024-09-08 07:03:57,https://megapolitan.kompas.com/read/2024/09/07/20362371/rano-karno-nostalgia-di-taman-benyamin-sueb-kenang-pendirian-museum-babe,https://asset.kompas.com/crops/Vd9jHDFMFjuWXuHHIcSGZ7yr5Fg=/0x0:0x0/230x152/data/photo/2024/09/07/66dc4b9ca2289.jpg
"Shahril Nizam Tak Malu Jadi Tukang Bersih-bersih di Singapura, Bergaji Rp 28 Juta Per Bulan di Usia 25 Tahun...",GLOBAL,07-09-2024,2024-09-08 07:03:57,https://www.kompas.com/global/read/2024/09/07/203046870/shahril-nizam-tak-malu-jadi-tukang-bersih-bersih-di-singapura-bergaji-rp,https://asset.kompas.com/crops/vfSUIJIT9pk1mfdC360JZ1A5uqk=/273x74:894x488/230x152/data/photo/2024/09/07/66dc54a76ec76.jpg
"Hasil Sprint Race MotoGP San Marino 2024, Martin Menang, Bagnaia Kedua",OTOMOTIF,07-09-2024,2024-09-08 07:03:58,https://otomotif.kompas.com/read/2024/09/07/203039115/hasil-sprint-race-motogp-san-marino-2024-martin-menang-bagnaia-kedua,https://asset.kompas.com/crops/m-KJb-G4abNlvyPBEqKXPXEfliY=/0x103:1440x1063/230x152/data/photo/2024/04/28/662d8ac21ac6d.jpg
Studi Baru: Ada Kaitan antara Hobi Bersolek dengan Gangguan Kepribadian Narsistik dan Psikopat,TREN,07-09-2024,2024-09-08 07:03:58,https://www.kompas.com/tren/read/2024/09/07/203000365/studi-baru--ada-kaitan-antara-hobi-bersolek-dengan-gangguan-kepribadian,https://asset.kompas.com/crops/mFmNNdCG8XbXASXJC3AjXxBuIT4=/0x0:7494x4996/230x152/data/photo/2023/04/04/642be2d5c0c1e.jpg
Pemerintah Akan Tambah 200 Unit Bus Listrik untuk Transjakarta,MONEY,07-09-2024,2024-09-08 07:03:59,https://money.kompas.com/read/2024/09/07/203000426/pemerintah-akan-tambah-200-unit-bus-listrik-untuk-transjakarta-,https://asset.kompas.com/crops/Z54PmY-q-FNkVdzNUI7-KtCJ-U8=/0x0:5472x3648/230x152/data/photo/2023/08/31/64f001138cd0a.jpg
"Janjikan Setiap RW Dapat Anggaran Rp 100 Juta-Rp 200 Juta, RK: Masa Bandung Bisa, Jakarta Enggak?",NEWS,07-09-2024,2024-09-08 07:03:59,https://megapolitan.kompas.com/read/2024/09/07/20293811/janjikan-setiap-rw-dapat-anggaran-rp-100-juta-rp-200-juta-rk-masa-bandung,https://asset.kompas.com/crops/Wfa6J2jI2hgLPKiaHFxU-V7LhRI=/0x0:0x0/230x152/data/photo/2024/09/06/66daf59c9bef9.jpg
"Berkat Program CSR Vinilon Group dan Solar Chapter, Warga Desa Banuan Kini Merdeka Air Bersih",LESTARI,07-09-2024,2024-09-08 07:04:00,https://lestari.kompas.com/read/2024/09/07/202431486/berkat-program-csr-vinilon-group-dan-solar-chapter-warga-desa-banuan-kini,https://asset.kompas.com/crops/sWlRtyf1BLYmdsfz08nOEeVDx_Q=/0x0:780x520/230x152/data/photo/2024/09/07/66dc4b97c5e2f.jpg
"Hasil Sprint Race MotoGP San Marino 2024: Jorge Martin Menang, Marquez Ke-5",BOLA,07-09-2024,2024-09-08 07:04:00,https://www.kompas.com/motogp/read/2024/09/07/20242698/hasil-sprint-race-motogp-san-marino-2024-jorge-martin-menang-marquez-ke-5,https://asset.kompas.com/crops/f23gR6dDBm200j4bKlaYXCsEqRI=/0x0:711x474/230x152/data/photo/2024/09/07/66dc54b511911.jpg
